Date,TikTok_small,TikTok_large,Meta_small,Meta_large
12-Jan,0.033,0.03,-0.057,-0.077
13-Jan,0.022,-0.035,-0.11,-0.09
14-Jan,0.028,-0.068,0.003,-0.051
15-Jan,-0.002,0.022,0.079,0.003
16-Jan,-0.035,0.006,0.019,-0.007
17-Jan,-0.002,0.028,0.013,0.043
18-Jan,0.001,0.001,-0.004,-0.004
19-Jan,-0.713,-0.795,0.282,0.924
20-Jan,-0.132,-0.326,0.222,0.944
21-Jan,-0.126,-0.511,0.239,0.957
22-Jan,-0.044,-0.38,0.192,0.921
23-Jan,0.043,-0.453,0.159,0.887
24-Jan,0.125,-0.366,0.189,0.924
25-Jan,0.144,-0.289,0.186,0.901
26-Jan,0.188,-0.224,0.152,0.894
