Time,Mobile App Downloads in China,Mobile App Downloads in United States,Mobile App Downloads in Rest of the World
2021 Q1,11529289,66301,837417
2021 Q2,8293840,59669,589771
2021 Q3,7685771,71212,814151
2021 Q4,8696483,85906,863229
2022 Q1,9567858,81274,1096615
2022 Q2,9713416,154794,1110909
2022 Q3,10306029,191867,1313665
2022 Q4,9933599,196503,1354061
2023 Q1,13147506,233486,1679300
2023 Q2,13493589,254636,2166654
2023 Q3,13463245,270144,2172108
2023 Q4,13240314,263119,2088746
2024 Q1,11984395,256447,2300477
2024 Q2,12851695,273247,2791159
2024 Q3,10949735,347942,2739405
2024 Q4,10669544,508856,3218561
2025 Q1,9126432,3736975,14665665
