Year,Platform,Number of Users (in millions)
2019,Facebook,173
2019,Instagram,110.8
2019,Pinterest,82.3
2019,SnapChat,82.1
2019,Twitter,54
2019,TikTok,35.7
2020,Facebook,179.3
2020,Instagram,118.3
2020,Pinterest,89
2020,SnapChat,85.5
2020,Twitter,56.4
2020,TikTok,66.9
2021,Facebook,179.7
2021,Instagram,123.4
2021,Pinterest,85.7
2021,SnapChat,87.9
2021,Twitter,57.8
2021,TikTok,86.9
2022,Facebook,178.3
2022,Instagram,128.3
2022,Pinterest,86.1
2022,SnapChat,88.8
2022,Twitter,58.7
2022,TikTok,95.8
2023,Facebook,177.9
2023,Instagram,133.5
2023,Pinterest,86.4
2023,SnapChat,89.6
2023,Twitter,55.1
2023,TikTok,102.4
2024,Facebook,177.5
2024,Instagram,138.5
2024,Pinterest,86.8
2024,SnapChat,90.5
2024,Twitter,50.5
2024,TikTok,107.8
2025,Facebook,177.5
2025,Instagram,143.3
2025,Pinterest,87.3
2025,SnapChat,91.1
2025,Twitter,
2025,TikTok,112.1
